occasion,age,format,product_idea,mechanic,sales_potential
Tarptautinė tolerancijos diena,3–4 m.,PDF,Vienodi ir skirtingi,"Paveikslėlių poros, paprasti skirtumai, draugystės aptarimas",aukštas
Tarptautinė tolerancijos diena,5–6 m.,PDF,Kaip pasielgtum? – draugystės situacijos,"Atstūmimas, kitoniškumas, pagalba draugui, emocijų atpažinimas",labai aukštas
Tarptautinė tolerancijos diena,Priešmokyklinis,PDF/PPT,Draugystės pasirinkimai,Situacija + 3 elgesio variantai + aptarimo klausimas,labai aukštas
Tarptautinė tolerancijos diena,1–2 kl.,PDF/PPT,Pagarbus ar nepagarbus?,"Trumpi scenarijai, pasirinkimas ir paaiškinimas",labai aukštas
Tarptautinė tolerancijos diena,3–4 kl.,PDF/PPT,Ką pasakytum tu?,"Empatija, stereotipai, konfliktai, argumentavimas",aukštas
Tarptautinė tolerancijos diena,5–8 kl.,PPT/PDF,Socialinės dilemos,"Grupės spaudimas, patyčių stebėtojas, stereotipai, socialiniai tinklai",aukštas
Pasaulinė Žemės diena,3–4 m.,PDF,Kas padeda Žemei?,Paveikslėlių rūšiavimas: padeda / kenkia,aukštas
Pasaulinė Žemės diena,5–6 m.,PDF,Rūšiuoju atliekas,"Atliekų priskyrimas konteineriams, kas tvaru / netvaru",labai aukštas
Pasaulinė Žemės diena,Priešmokyklinis,PDF/PPT,Žemės draugai,Kasdieniai pasirinkimai + priežastis ir pasekmė,labai aukštas
Pasaulinė Žemės diena,1–2 kl.,PDF/PPT,Žemės dienos teksto suvokimas,Trumpas informacinis tekstas + klausimai,aukštas
Pasaulinė Žemės diena,3–4 kl.,PDF/PPT,Atliekų diagramos,"Duomenų skaitymas, palyginimas, teksto suvokimas",aukštas
Pasaulinė Žemės diena,5–8 kl.,PPT/PDF,Ekologinis pasirinkimas,"Duomenų interpretavimas, argumentavimas, tvarumo dilemos",aukštas
Saugesnio interneto diena,5–6 m.,PDF,Saugus ar nesaugus internete?,"Paveikslėlių situacijos, paprastos taisyklės",aukštas
Saugesnio interneto diena,1–2 kl.,PDF/PPT,Ką daryti internete?,"Slaptažodis, nepažįstamasis, nuotraukos, pagalbos prašymas",labai aukštas
Saugesnio interneto diena,3–4 kl.,PDF/PPT,Skaitmeninio saugumo situacijos,"Privatumas, nuorodos, žinutės, patyčios",labai aukštas
Saugesnio interneto diena,5–8 kl.,PPT/PDF,Skaitmeninės dilemos,"Privatumas, socialiniai tinklai, dezinformacija, grupių spaudimas",labai aukštas
Tarptautinė vaikų knygos diena,3–6 m.,PDF,Knygos kelias,"Paveikslėlių seka, veikėjai, kas nutiko pirmiau / vėliau",aukštas
Tarptautinė vaikų knygos diena,Priešmokyklinis,PDF,Sukurk istoriją,Paveikslėlių seka + sakinio / pasakojimo kūrimas,aukštas
Tarptautinė vaikų knygos diena,1–2 kl.,PDF/PPT,Knygos detektyvas,"Trumpi tekstai, veikėjas, vieta, pagrindinė mintis",aukštas
Tarptautinė vaikų knygos diena,3–4 kl.,PDF/PPT,Teksto tyrinėtojas,"Faktas, nuomonė, pagrindinė mintis, išvada",aukštas
Pasaulinė vandens diena,3–4 m.,PDF,Kur randame vandenį?,Paveikslėlių atpažinimas ir poravimas,aukštas
Pasaulinė vandens diena,5–6 m.,PDF,Taupau ar švaistau?,Kasdienės situacijos apie vandens naudojimą,labai aukštas
Pasaulinė vandens diena,1–2 kl.,PDF/PPT,Vandens kelionė,Paprasta seka + teksto suvokimas,aukštas
Pasaulinė vandens diena,3–4 kl.,PDF/PPT,Vanduo skaičiais,Duomenų lentelės / diagramos + klausimai,aukštas
Pasaulinė vandens diena,5–8 kl.,PPT/PDF,Vandens ištekliai,"Duomenys, problemos, argumentavimo užduotys",aukštas
