tema,mikrotema,amzius,sritis,piko_menesiai,evergreen,konkurencija,pardavimo_potencialas,gamybos_sanaudos_d,isankstinio_paskelbimo_dienos,formatas,produkto_ideja,uzduociu_pavyzdziai,kampai,teorijos_lygis,saltiniu_kryptis,produkto_apimtis,auditorija
Skaičiai iki 10,Skaičiaus ir kiekio siejimas,4–6 m.,Matematika,"rugsėjis,spalis",5,vidutinė,aukštas,2,18,PDF / manipuliacinės kortelės,„Surask kiekį“,Sujunk skaičių su kiekiu | Rask vienodą kiekį | Užbaik skaičių seką | Kur daugiau / mažiau? | Pasirink teisingą skaitmenį,atpažinti | atlikti veiksmą | klaidos paieška / taikymas situacijoje,reikia šaltinių,Aktuali matematikos bendroji programa ir oficiali metodinė medžiaga pagal klasę.,30–40 užduočių / 3–5 lygiai,pedagogai
Skaičiai iki 10,Skaičių seka ir kaimynai,5–7 m.,Matematika,"rugsėjis,spalis",5,vidutinė,aukštas,2,18,PDF / PPT,„Kas prieš? Kas po?“,Įrašyk trūkstamą skaičių | Rask kaimynus | Sudėliok 1–10 seką | Atpažink sukeistus skaičius | Rask didesnį / mažesnį kaimyną,atpažinti | atlikti veiksmą | klaidos paieška / taikymas situacijoje,reikia šaltinių,Aktuali matematikos bendroji programa ir oficiali metodinė medžiaga pagal klasę.,30–40 užduočių / 3–5 lygiai,pedagogai
Skaičiai iki 10,Skaičiaus sandara iki 10,6–8 m.,Matematika,"rugsėjis,spalis",5,vidutinė,labai aukštas,3,22,PPT + PDF,„Pastatyk skaičių“,Iš kokių dviejų dalių sudarytas 7? | Kiek trūksta iki 10? | Rask neteisingą lygybę | Pagal paveikslėlį sudaryk veiksmą | Užpildyk skaičiaus namelį | Rask kelis būdus sudaryti tą patį skaičių,atpažinti | atlikti veiksmą | klaidos paieška / taikymas situacijoje,reikia šaltinių,Aktuali matematikos bendroji programa ir oficiali metodinė medžiaga pagal klasę.,30–40 užduočių / 3–5 lygiai,pedagogai
Sudėtis,Sudėtis iki 10,6–8 m.,Matematika,"rugsėjis,spalis,lapkritis",5,aukšta,labai aukštas,4,24,Interaktyvi PPT,„Sudėk ir patikrink“,Sudėk objektų grupes | Pasirink veiksmą pagal situaciją | Įrašyk trūkstamą dėmenį | Rask teisingą atsakymą | Sudaryk du veiksmus tam pačiam rezultatui,atpažinti | atlikti veiksmą | klaidos paieška / taikymas situacijoje,reikia šaltinių,Aktuali matematikos bendroji programa ir oficiali metodinė medžiaga pagal klasę.,30–40 užduočių / 3–5 lygiai,pedagogai
Atimtis,Atimtis iki 10,6–8 m.,Matematika,"spalis,lapkritis",5,aukšta,labai aukštas,4,24,Interaktyvi PPT,„Kas liko?“,Nubrauk ir suskaičiuok | Pagal paveikslėlį sudaryk veiksmą | Rask trūkstamą atėminį | Palygink du veiksmus | Rask klaidą,atpažinti | atlikti veiksmą | klaidos paieška / taikymas situacijoje,reikia šaltinių,Aktuali matematikos bendroji programa ir oficiali metodinė medžiaga pagal klasę.,30–40 užduočių / 3–5 lygiai,pedagogai
Raidės,Pirmas garsas ir raidė,5–7 m.,Kalbinis ugdymas,"rugsėjis,spalis",5,aukšta,labai aukštas,3,20,PDF kortelės,„Ką girdi pradžioje?“,Atrink paveikslėlius pagal pirmą garsą | Sujunk garsą su raide | Rask netinkamą paveikslėlį | Pasakyk pirmą garsą | Rūšiuok pagal dvi raides,atpažinti | diferencijuoti | ištarti / pritaikyti žodyje,reikia šaltinių,Aktualios logopedinės metodikos ir patikimi kalbos raidos / fonologijos šaltiniai.,24–40 kortelių / 3 sunkumo lygiai,pedagogai
Skiemenys,Žodžių skiemenavimas 2–3 skiemenimis,5–8 m.,Kalbinis ugdymas,"spalis,lapkritis,sausis",5,vidutinė,aukštas,3,22,PDF / PPT,„Suskaldyk žodį“,Suplok skiemenis | Rūšiuok pagal skiemenų skaičių | Sujunk skiemenis į žodį | Rask trūkstamą skiemenį | Rask kitokį žodį,atpažinti | diferencijuoti | ištarti / pritaikyti žodyje,reikia šaltinių,Aktualios logopedinės metodikos ir patikimi kalbos raidos / fonologijos šaltiniai.,24–40 kortelių / 3 sunkumo lygiai,pedagogai
Teksto suvokimas,Trumpi 2–4 sakinių tekstai,6–8 m.,Lietuvių kalba,"rugsėjis,spalis,lapkritis,sausis",5,aukšta,labai aukštas,4,24,PDF / PPT,„Perskaityk ir rask įrodymą“,Kas veikėjas? | Kur vyko veiksmas? | Kuris teiginys teisingas? | Kas nutiko pirmiausia? | Rask tekste atsakymą | Pasirink paveikslėlį pagal tekstą,atpažinti | taikyti kontekste | paaiškinti / taisyti klaidą,reikia šaltinių,"Aktuali lietuvių kalbos ir literatūros bendroji programa, VLKK / patikima metodinė medžiaga.",24–40 užduočių / keli lygiai,pedagogai
Daugybos lentelė,"Daugyba iš 2, 5 ir 10",8–10 m.,Matematika,"spalis,lapkritis,sausis",5,aukšta,labai aukštas,5,28,Interaktyvi PPT,„Greitoji daugyba“,Pasirink atsakymą | Rask trūkstamą sandaugą | Rask klaidą | Susiek veiksmą su vaizdiniu modeliu | Užbaik dėsningumą | Laiko iššūkis,atpažinti | atlikti veiksmą | klaidos paieška / taikymas situacijoje,reikia šaltinių,Aktuali matematikos bendroji programa ir oficiali metodinė medžiaga pagal klasę.,30–40 užduočių / 3–5 lygiai,pedagogai
Trupmenos,Trupmenų palyginimas vienodais vardikliais,8–11 m.,Matematika,"sausis,vasaris,kovas",5,vidutinė,aukštas,5,30,PPT + PDF,„Kuri trupmena didesnė?“,Palygink pagal paveikslą | Įrašyk > < = | Rask didžiausią trupmeną | Sukurk dvi lygiavertes iliustracijas | Rask klaidą,atpažinti | atlikti veiksmą | klaidos paieška / taikymas situacijoje,reikia šaltinių,Aktuali matematikos bendroji programa ir oficiali metodinė medžiaga pagal klasę.,30–40 užduočių / 3–5 lygiai,pedagogai
Linksniai,Linksnių atpažinimas sakiniuose,9–11 m.,Lietuvių kalba,"sausis,vasaris,kovas",5,vidutinė,aukštas,5,28,Interaktyvi PPT,„Kuris linksnis?“,Nustatyk linksnį | Parink klausimą | Rask neteisingą variantą | Pakeisk į nurodytą linksnį | Sujunk žodį su klausimu,atpažinti | taikyti kontekste | paaiškinti / taisyti klaidą,reikia šaltinių,"Aktuali lietuvių kalbos ir literatūros bendroji programa, VLKK / patikima metodinė medžiaga.",24–40 užduočių / keli lygiai,pedagogai
Trupmenos,Paprastųjų trupmenų sudėtis ir atimtis vienodais vardikliais,10–12 m.,Matematika,"rugsėjis,spalis,sausis",5,aukšta,labai aukštas,5,30,PPT / PDF,„Trupmenų laboratorija“,Sudėk trupmenas | Atimk trupmenas | Rask trūkstamą skaitiklį | Supaprastink rezultatą | Pritaikyk situaciniame uždavinyje,atpažinti | atlikti veiksmą | klaidos paieška / taikymas situacijoje,reikia šaltinių,Aktuali matematikos bendroji programa ir oficiali metodinė medžiaga pagal klasę.,30–40 užduočių / 3–5 lygiai,pedagogai
Trupmenos,Trupmenų palyginimas skirtingais vardikliais,10–13 m.,Matematika,"spalis,lapkritis,sausis",5,vidutinė,aukštas,5,30,PPT,„Kas didesnis?“,Suvienodink vardiklius | Palygink dvi trupmenas | Rask didžiausią iš keturių | Rask neteisingą palyginimą | Paaiškink pasirinkimą,atpažinti | atlikti veiksmą | klaidos paieška / taikymas situacijoje,reikia šaltinių,Aktuali matematikos bendroji programa ir oficiali metodinė medžiaga pagal klasę.,30–40 užduočių / 3–5 lygiai,pedagogai
Procentai,Trupmena ↔ dešimtainis skaičius ↔ procentai,11–14 m.,Matematika,"sausis,vasaris,kovas",5,aukšta,labai aukštas,6,32,PPT + PDF,„Trys to paties skaičiaus veidai“,"0,25 paversk procentais | 25% paversk trupmena | Sujunk lygiaverčius užrašus | Rask klaidą | Pritaikyk nuolaidos uždavinyje",atpažinti | atlikti veiksmą | klaidos paieška / taikymas situacijoje,reikia šaltinių,Aktuali matematikos bendroji programa ir oficiali metodinė medžiaga pagal klasę.,30–40 užduočių / 3–5 lygiai,pedagogai
